Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,0.627,0.33,0.068,-0.172,-0.393,0.553,-0.08,0.073,-0.023,-0.119,-0.2,-0.077,-0.299,-0.134,-0.203,-0.672,0.545,-0.822,0.225,-0.404,-0.313,0.237,-0.059,-0.212,-0.042,0.629,-0.049,0.43,-0.005,0.814,-0.263,0.105,0.117,1.37,-0.136,0.003,0.113,0.838,0.722,1.112,1.555,0.492,1.023,0.462,0.255,0.426,1.45,1.103,1.009,1.274,1.108,1.568,1.444,1.322,1.665,1.601,1.269,2.146,1.823,1.623,1.682
Andorra,0.744,0.102,-0.762,0.3,-0.492,0.407,0.621,-0.013,-0.176,0.081,-0.355,-0.526,-0.01,-0.412,0.207,-0.081,-0.111,-0.174,0.046,-0.199,0.167,1.048,0.856,-0.159,0.058,0.392,0.353,0.856,1.152,1.724,0.215,0.368,0.175,1.502,1.245,0.535,1.736,0.98,1.02,1.015,1.476,0.828,1.946,0.919,0.835,1.463,0.974,0.891,1.358,0.411,1.617,1.196,0.757,1.857,1.546,1.83,1.771,1.761,1.813,2.401,1.367
Austria,1.031,-0.624,-0.729,-0.371,-0.884,0.603,0.678,0.214,-0.123,-0.549,-0.058,0.108,-0.031,0.316,0.862,0.216,0.5,-0.474,-0.11,-0.272,0.279,0.389,1.068,-0.242,-0.56,0.325,-0.256,0.827,1.11,1.268,0.13,1.25,0.529,1.962,0.943,-0.198,0.517,1.347,0.985,1.768,1.504,1.539,1.473,0.839,0.638,0.921,2.15,1.593,1.552,0.662,1.381,1.791,1.103,2.427,2.183,2.111,1.753,2.535,2.369,2.32,1.397
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.271,0.023,1.139,1.498,-0.276,0.358,0.704,1.504,1.94,1.977,1.891,0.08,0.926,1.271,0.642,2.357,2.247,1.593,1.434,0.989,1.526,1.169,2.137,2.211,2.168,1.562,2.31,2.65,3.476,1.683
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.468,1.317,1.378,1.505,1.07,1.178,1.379,1.864,1.238,1.142,0.215,1.268,1.113,0.449,2.399,1.35,1.861,1.695,2.151,2.038,2.528,1.15
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.682,0.279,1.721,0.316,-0.011,0.146,1.094,0.646,1.554,1.56,1.178,1.134,0.632,0.178,0.651,1.927,1.434,1.445,1.026,1.173,1.813,1.379,1.887,1.867,1.729,1.477,2.334,2.05,1.942,1.666
Bulgaria,0.901,0.488,-0.249,-0.532,-0.456,1.151,0.029,0.419,-0.484,0.202,-0.144,0.133,-0.429,-0.206,0.382,-0.852,0.556,-0.725,0.156,-0.462,-0.061,-0.139,0.376,-0.031,-0.615,0.345,-0.496,0.122,0.4,0.788,-0.162,0.139,-0.329,1.582,0.219,-0.358,-0.333,0.779,0.694,1.183,1.629,0.833,0.159,0.496,0.18,0.538,1.858,1.165,1.273,1.335,0.399,1.659,1.462,1.207,1.458,1.932,0.987,2.228,2.19,2.182,1.795
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.829,0.402,1.715,0.431,-0.029,0.313,1.157,0.706,1.623,1.596,1.266,1.287,0.68,0.307,0.735,1.995,1.468,1.51,0.878,1.269,1.857,1.282,2.044,1.933,1.843,1.562,2.321,2.117,2.024,1.622
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286,1.797,1.03,-0.617,0.118,1.247,1.1,1.902,1.219,1.523,1.074,0.814,0.742,0.948,2.161,1.635,1.413,0.396,1.029,1.57,0.77,2.494,2.112,2.067,1.585,2.641,2.533,2.331,1.29
Denmark,1.12,-0.639,-1.018,-0.274,-0.603,-0.5,0.832,0.275,-0.139,-1.207,0.258,0.285,0.665,0.575,1.33,0.295,-0.019,0.145,-1.189,-0.437,0.304,0.006,1.065,0.386,-0.996,-0.437,-0.98,0.926,1.802,1.845,0.617,1.451,0.236,0.97,1.308,-0.749,0.654,0.872,1.337,1.722,1.048,1.658,0.712,1.036,1.284,1.352,2.136,1.858,1.324,-0.195,0.684,1.145,0.401,2.681,1.523,1.856,1.624,2.115,2.185,2.642,1.691
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.588,0.525,0.348,1.731,-0.369,0.917,0.521,1.502,2.043,1.82,1.466,0.218,1.159,1.579,1.237,2.24,2.582,1.597,0.52,1.276,1.442,1.157,2.403,2.344,1.895,1.474,2.381,2.183,3.595,2.133
Finland,1.906,-0.322,-0.386,0.35,-0.25,-1.793,1.097,-1.624,-0.469,-0.621,-0.446,0.942,1.144,1.125,1.898,-0.872,-0.222,-0.521,-0.751,-0.377,-0.237,-0.153,0.966,0.759,-1.173,-0.179,-1.652,0.579,2.175,1.246,1.133,1.159,0.929,0.135,1.693,0.131,0.777,0.064,1.153,2.019,1.361,1.166,0.707,1.225,2.195,1.2,1.94,2.125,1.685,0.232,1.345,1.533,1.414,2.584,2.605,2.142,1.477,2.144,1.436,3.305,1.923
France,0.837,-0.296,-0.948,0.03,-0.622,0.421,0.492,-0.079,0.017,-0.104,-0.172,-0.338,0.042,-0.103,0.46,0.347,0.004,-0.228,-0.196,-0.228,0.079,0.796,0.704,-0.098,-0.351,-0.017,-0.024,0.751,1.254,1.567,0.226,0.631,0.302,1.526,1.296,0.158,1.21,0.915,1.17,1.141,1.355,1.01,1.752,0.924,0.968,1.256,1.349,0.933,1.148,0.326,1.462,1.146,0.638,1.965,1.513,1.689,1.682,1.925,1.888,2.411,1.193
Germany,0.99,-0.751,-1.085,-0.33,-0.815,0.406,0.868,0.204,-0.11,-0.831,0.034,-0.014,0.188,0.318,1.098,0.468,0.28,-0.176,-0.643,-0.19,0.293,0.436,1.067,-0.115,-0.804,-0.011,-0.565,0.887,1.484,1.565,0.279,1.22,0.304,1.618,1.301,-0.706,0.551,1.146,1.36,1.755,1.281,1.478,1.248,0.988,1.015,1.248,2.08,1.532,1.27,0.182,1.108,1.338,0.571,2.506,1.658,1.971,1.636,2.377,2.314,2.499,1.304
Greece,0.472,0.609,0.296,-0.312,-0.333,0.778,-0.209,0.172,-0.099,0.255,-0.235,-0.196,-0.374,-0.208,-0.266,-0.921,0.325,-0.565,0.171,-0.389,-0.203,-0.25,-0.502,-0.135,-0.077,0.296,-0.405,0.118,-0.217,0.34,-0.218,-0.548,-0.341,1.052,-0.045,-0.169,-0.204,0.622,0.788,0.667,1.298,0.415,0.377,0.327,0.209,0.247,1.068,0.872,0.758,1.551,0.365,1.21,1.3,1.028,0.889,1.584,0.65,1.903,1.406,1.366,1.722
Holy See,0.721,0.094,-0.135,0.197,-0.405,0.277,0.172,0.059,0.01,-0.146,-0.251,-0.181,-0.007,-0.27,-0.212,-0.483,0.24,-0.637,0.066,-0.59,-0.522,0.526,0.185,-0.581,0.237,0.57,0.158,0.717,0.08,1.053,-0.101,0.444,0.401,1.399,0.125,0.291,0.788,0.879,0.733,1.139,1.396,0.636,1.396,0.395,0.328,0.503,1.223,0.869,0.915,0.662,0.914,1.404,0.765,1.239,1.375,1.454,1.203,1.765,1.46,1.54,1.306
Hungary,1.186,-0.415,-0.459,-0.876,-0.883,0.756,0.599,0.389,-0.271,-0.503,-0.059,0.397,-0.026,0.268,0.863,-0.267,0.554,-0.864,0.055,-0.611,0.154,0.112,0.999,-0.126,-1.056,0.37,-0.531,0.401,0.881,1.088,-0.041,0.921,0.085,1.766,0.645,-0.325,-0.13,1.099,0.62,1.753,1.41,1.442,0.732,0.572,0.258,0.722,2.165,1.52,1.637,0.83,0.915,1.751,1.18,2.232,2.092,1.923,1.373,2.565,2.393,2.034,1.482
